Rapport UsageDetail pour la période de facturation - (UsageDetail Report for Billing Period -) 201904

ID du compte (AccountId),Nom du compte (AccountName),Adresse e-mail du propriétaire du compte (AccountOwnerEmail),Informations supplémentaires (AdditionalInfo),Quantité consommée (ConsumedQuantity),Service consommé (ConsumedService),ID du service consommé (ConsumedServiceId),Coût (Cost),Centre de coûts (CostCenter),Date (Date),ID du service (DepartmentId),Nom du service (DepartmentName),ID d'instance (InstanceId),Catégorie du compteur (MeterCategory),ID du compteur (MeterId),Nom du compteur (MeterName),Région du compteur (MeterRegion),Sous-catégorie du compteur (MeterSubCategory),Produit (Product),ID du produit (ProductId),Groupe de ressources (ResourceGroup),Emplacement des ressources (ResourceLocation),ID d'emplacement des ressources (ResourceLocationId),Taux de ressources (ResourceRate),ID de l'administrateur de service (ServiceAdministratorId),Informations de service 1 (ServiceInfo1),Informations de service 2 (ServiceInfo2),Identificateur du service Store (StoreServiceIdentifier),Guid d'abonnement (SubscriptionGuid),ID d'abonnement (SubscriptionId),Nom de l'abonnement (SubscriptionName),Balises (Tags),Unité de mesure (UnitOfMeasure),PartNumber (PartNumber),ResourceGuid (ResourceGuid),OfferId (OfferId),ChargesBilledSeparately (ChargesBilledSeparately),Emplacement (Location),ServiceName (ServiceName),ServiceTier (ServiceTier)
194110,azure_devops-company2,azure_devops@company2.ch,,0.0146,Microsoft.Storage,68,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Batch Write Operations,,Tables,Tables - Batch Write Operations,1007784,company2-portal-collaboration,eunorth,19,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,100000000,N9H-00758,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,MS-AZR-0017P,False,EU North,Storage,Tables
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.064512,Microsoft.Web,4,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-queue-functions,Azure App Service,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,F1,,Free Plan,Azure App Service Free Plan - F1,1009609,company2-portal-collaboration,northeurope,134,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,1 Hour,T2X-00008,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,MS-AZR-0017P,False,EU North,Azure App Service,Free and Shared
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.032256,Microsoft.Web,4,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-queue-functions/slots/DEV,Azure App Service,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,F1,,Free Plan,Azure App Service Free Plan - F1,1009609,company2-portal-collaboration,northeurope,134,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,1 Hour,T2X-00008,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,MS-AZR-0017P,False,EU North,Azure App Service,Free and Shared
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.064512,Microsoft.Web,4,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-api-functions,Azure App Service,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,F1,,Free Plan,Azure App Service Free Plan - F1,1009609,company2-portal-collaboration,northeurope,134,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,1 Hour,T2X-00008,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,MS-AZR-0017P,False,EU North,Azure App Service,Free and Shared
194110,azure_devops-company2,azure_devops@company2.ch,,0.00012,Microsoft.Storage,68,0.000004776818159,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,LRS Data Stored,,Tables,Tables - LRS Data Stored,1017069,company2-portal-collaboration,eunorth,19,0.039806817989976,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,100 GB/Month,N9H-00637,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,MS-AZR-0017P,False,EU North,Storage,Tables
194110,azure_devops-company2,azure_devops@company2.ch,,2.0884,Microsoft.Storage,68,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,163d25e4-db3e-4b6b-bd0c-83dc464a98bd,Class 2 Operations,Ireland,Queues v2,Queues v2 - Class 2 Operations - EU North,1048973,company2-portal-collaboration,eunorth,19,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10000000,AAA-71393,163d25e4-db3e-4b6b-bd0c-83dc464a98bd,MS-AZR-0017P,False,EU North,Storage,Queues v2
194110,azure_devops-company2,azure_devops@company2.ch,,0.001649,Microsoft.Storage,68,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Bandwidth,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,All Regions,,Bandwidth - Data Transfer In - Zone 1,1004688,company2-portal-collaboration,eunorth,19,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10 GB,Q5H-00017,32c3ebec-1646-49e3-8127-2cafbd3a04d8,MS-AZR-0017P,False,EU North,Bandwidth,Bandwidth - Inbound Data Transfer
194110,azure_devops-company2,azure_devops@company2.ch,,0.003288,Microsoft.Storage,68,0.000172793163546,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,LRS Data Stored,,Files,Files - LRS Data Stored,1005788,company2-portal-collaboration,eunorth,19,0.05255266531195,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,100 GB/Month,N9H-00069,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,MS-AZR-0017P,False,EU North,Storage,Files
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.032256,Microsoft.Web,4,0,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-api-functions/slots/DEV,Azure App Service,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,F1,,Free Plan,Azure App Service Free Plan - F1,1009609,company2-portal-collaboration,northeurope,134,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,1 Hour,T2X-00008,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,MS-AZR-0017P,False,EU North,Azure App Service,Free and Shared
194110,azure_devops-company2,azure_devops@company2.ch,,0.001077,Microsoft.Storage,68,0.000083993506033,1234567-0000325200,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,All Regions,,Bandwidth - Data Transfer Out - Zone 1,1010107,company2-portal-collaboration,eunorth,19,0.077988399288296,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10 GB,Q5H-00003,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,MS-AZR-0017P,False,EU North,Bandwidth,Bandwidth - Outbound Data Transfer
